SMILES	tc
CCC=C	419
CC(=O)C	508
C/C=C\C	436
C/C=C/C	429
CC(C)C	408
FC(F)F	299
CC(F)F	386
CC(=C)C	418
FC(Cl)Cl	453
CCC=O	504
CC#CC	489
CCC#C	460
O=CC#C	565
CCCO	537
CC(O)C	508
C=CC=O	528
CC(=O)O	593
C1CCC1	460
[O-][N+](=O)C	588
COCC	438
COC=C	442
COC=O	487
CCC#N	561
CC(Br)C	517
CCCN	498
OCC=C	540
C=CC=C	425
CC(N)C	472
CCCBr	537
C=CC#C	448
OCC#C	568
OCCO	719
CC(F)C	410
CCCF	419
CCCCl	503
BrC(Br)Br	682
CC(Cl)C	482
ClC(Cl)Cl	536
NCCO	672
BrC(=C)Br	573
NCC=C	540
BrCCBr	649
C=CC#N	540
OCCBr	603
NCC#C	577
CC(Br)Br	585
CC(=C)Br	509
BrCC=C	542
BrCC#C	510
OCCF	538
NCCN	613
CC(=C)Cl	472
ClCC#N	537
CC(=C)F	393
CC=CF	393
FCCF	453
CNCC	490
CC1CC1	438
ClCC=C	503
ClC(=C)Cl	492
FC(=C)F	303
ClCCCl	561
FCC=C	410
ClCC=O	498
FCC#C	421
CC(Cl)Cl	523
OCCCl	566
CC=CCl	490
ClCC#C	530
FCC=O	494
OCC=O	579
OCC#N	679
FC(Br)Br	561
ClC(Br)Br	639
NCCF	489
Br/C=C\Br	609
Br/C=C/Br	609
ClCCBr	598
COCCl	523
COCF	418
ClC(Br)Cl	580
Cl/C=C/Cl	515
CC(Br)Cl	560
FC(Br)F	412
Cl/C=C\Cl	536
C/C=C\F	393
FCCBr	523
C/C=C/Br	527
C/C=C\Br	524
F/C=C\F	365
FCCCl	510
FC(=C)Cl	401
CN(C)C	433
CC(Cl)F	466
C/C=C/Cl	491
C/C=C\Cl	482
F/C=C/Cl	459
C/C=C/F	393
F/C=C/F	350
FC(Br)Cl	517
F/C=C\Cl	462
F/C=C/Cl	445
CC=CC	433
BrC=CBr	612
ClC=CCl	522
CC=CBr	527
CCCCC	470
C1CCCC1	512
CCC(C)C	460
FC(F)(F)F	227
CC(C)(C)C	434
FC(Cl)(Cl)Cl	471
FC(Cl)(F)F	302
FC(Cl)(Cl)F	385
CC(Cl)(F)F	410
CC(Cl)(Cl)F	478
CCCC=O	537
C1CCCO1	540
CCCCO	562
CCC(O)C	536
CC=CC=O	573
CCC#CC	545
CCCC=C	465
CCCC#C	498
[O-][N+](=O)C=C	680
CCC(=O)C	536
[O-][N+](=O)CC	594
C1CCCN1	569
CCOC=C	475
C1CC=CC1	506
CC(C#C)O	555
CC(C=C)O	546
CCOC=O	510
C1OCCO1	556
CCCC#N	585
OCCC#C	600
CCCCN	532
O=CC(=O)C	598
CCCCBr	570
CCC(N)C	514
OCCC=C	556
CCC(Br)C	551
CC#CCO	571
CCC(Cl)C	519
CCC(=O)O	603
CCC(F)C	448
CC[C@@H](O)C	539
CC[C@H](O)C	538
CCCCF	466
COC(=O)C	507
CCCCCl	539
CC(=O)C=C	543
CC#CC=C	519
C=CCC#C	492
C=COC=O	482
CC/C=C\C	475
CC/C=C/C	474
CC=CC=C	488
C=CCC=C	462
C/C=C/C=O	574
C/C=C/C#N	592
C=CCC#N	582
CCC(=C)Br	544
COCOC	488
OCC(O)C	676
CCCOC	476
OC(=O)C#C	641
OCCCO	719
BrCCC=C	547
OC(=O)CBr	658
O=CC(C)C	544
C#CCC#N	603
COC(C)C	464
O1CC=CC1	540
C1CC=CO1	523
C/C=C/CBr	571
CC(C=C)Br	554
CC#CCBr	569
CCC=CBr	562
CCNCC	500
CC(C=C)Cl	519
CC=CCCl	550
CC=C(C)C	470
CCC(=C)C	467
CCC1CC1	482
CCC=CCl	515
OC(=O)CCl	617
CC#CCCl	577
CCC(=C)Cl	511
OC(=O)C=C	612
CC(C#C)C	488
BrC(Br)(Br)Br	703
C=CC(C)C	453
CC1CCC1	489
ClCCC=C	536
CC(CO)N	631
ClC(Cl)(Cl)Cl	556
NCCCO	708
OCCCBr	637
C/C=C\CO	576
OCC(=O)O	751
BrCCCBr	669
C/C=C\C=O	536
CC(Br)(Br)C	577
C=COC=C	474
CC(CN)O	659
BrCC(Br)C	652
CCC(Br)Br	618
C=CC1CC1	494
CC[C@H](Cl)C	521
[O-][N+](=O)CBr	654
NCCCN	632
CC(Cl)(Cl)C	529
OCCCCl	602
CCC(Cl)Cl	559
ClCCCCl	613
OCC(C)C	548
OCC(Cl)Cl	588
COCCN	572
COCC=O	544
COCCO	598
ClCC(Cl)C	577
COC(=C)C	479
COCC#N	586
Cl/C=C(\Cl)/C	542
ClC/C=C/Cl	580
OCC1CC1	576
CC(CCl)O	568
CC(O)(C)C	506
COCC=C	492
CC(=C)C=O	539
NCC(N)C	589
FCCCF	468
CCC(F)F	414
CC(Br)(Br)Br	635
OC[C@H](O)C	656
OC[C@@H](O)C	654
[O-][N+](=O)CCl	608
C/C=C/C=C	487
C/C=C/C#C	517
C/C=C\C#C	505
C1C=CC=C1	501
O=CC(Cl)Cl	553
CC(=O)CF	504
O=CC(F)F	500
BrCC(Br)Br	703
CC(=O)CCl	541
C/C=C\C=C	490
ClCC(Cl)Cl	609
FCC(F)F	424
ClC=C(Cl)Cl	570
CC(=O)CO	616
CC(C#N)Br	638
C/C=C\C#N	572
C/C=C(\Br)/C	532
C/C=C(/Br)\C	560
CC(Cl)(Cl)Cl	546
C/C=C/C#N	589
CC/C=C\Br	552
C[C@@H](C#N)Cl	620
BrCC(=C)Br	594
CCOCCl	530
C=CC(=C)Cl	517
C/C=C/CCl	552
C/C=C\CCl	550
CC/C=C\Cl	519
C/C=C(/Cl)\C	518
CC=C(F)F	381
CC(C#N)C	555
CNC(C)C	489
NCC(C)C	534
C=CC(=C)F	445
ClCC(=C)Cl	578
C=CC(Cl)Cl	552
N1CC=CC1	573
C/C=C(\Cl)/C	524
CC(=C)C#C	477
CC(N)(C)C	484
OCC(F)F	543
OCC=CCl	601
ClCCC#N	625
CC=C(Cl)Cl	547
CCCNC	524
CCN(C)C	475
CC/C=C/Cl	526
C=CC(=C)C	475
ClC(Br)(Cl)Cl	599
CC(C#N)O	615
C[C@@H](CO)N	599
ClCCCBr	640
C[C@H](CO)N	631
COCCBr	587
FC(Br)(F)F	340
ClC(Br)(Br)Br	707
FC(Br)(Br)Br	593
CC(Br)(C)C	524
BrCC(C)C	559
C[C@@H](CN)O	594
OCCC#N	700
CNCCN	605
N#CC1CC1	631
COCCCl	539
CC(Cl)(F)C	528
CC(Cl)(C)C	498
ClCC(C)C	523
COC(Cl)Cl	560
ClC(Br)(Br)Cl	667
FC(Br)(Br)F	469
COC(F)F	409
CC[C@@H](N)C	514
CC(F)(C)C	428
CC1(C)CC1	475
CC(CCl)F	528
CCC(Cl)F	497
ClC[C@@H](Cl)C	573
COC(Cl)C	501
CO/C=C\C	470
CO/C=C/C	486
BrCC1CC1	566
CC(=C)C#N	563
CNCCO	655
NCC1CC1	544
CNCC#N	617
ClCC(=C)Br	565
ClCC1CC1	544
BrC=C(C)C	560
CC(=C)CBr	562
FC(Br)(Br)Cl	591
BrC=C(F)F	452
FCC(=C)Br	543
FCC1CC1	478
BrCC(Br)F	604
CC(Br)(Cl)Cl	571
BrCC(F)F	480
BrC/C=C/Br	591
BrCC(Br)Cl	646
FC(Br)(Cl)Cl	536
C[C@@H](CN)O	594
CC(Br)(F)F	464
CC(Br)(Br)Cl	678
ClCC(F)F	478
ClC/C=C/Cl	606
Cl/C=C(\Cl)/C	590
CC(=C)CCl	532
ClC=C(C)C	526
ClC/C=C\Cl	593
Cl/C=C\C=C	519
Cl/C=C/C=C	519
FCC(Cl)F	476
FC=C(Cl)Cl	503
ClC=C(F)F	401
ClCC(Cl)F	542
Cl/C=C(/Cl)\C	542
FCC(Cl)Cl	544
FCC(=C)Cl	501
ClCOCCl	584
FC(Br)(Cl)F	428
Cl/C=C/C#N	625
Cl/C=C\C#N	625
F/C=C(\Cl)/F	408
FC(CBr)Cl	572
CC=CC#C	508
Cl/C=C(\Cl)/F	491
F/C=C(/Cl)\F	408
Cl/C=C(/Cl)\F	491
C[C@@H]1C[C@@H]1C	493
C[C@@H]1C[C@H]1C	479
CCC=CC	474
CC=C(Br)C	565
c1ccccc1	562
C1CCCCC1	554
CCCC(C)C	498
COC(=O)OC	557
C1CCCOC1	572
C=C1C=CC=C1	556
c1cccnc1	619
n1ccncc1	627
CCCCC=O	567
CCC#CCC	537
CC(CC=O)O	669
CCCCC=C	504
CCCCC#C	534
C1CNCCO1	625
N1CCNCC1	660
c1ccncn1	624
C1CCCNC1	594
C=CCCC=O	587
CCCC(O)C	560
O1CCOCC1	587
C1CCC=CC1	560
CCCCCO	588
CCC(CC)O	560
C1CCOCO1	593
O=CCC=CC	567
OC(=O)C(=O)C	697
CCCC(=O)C	561
CCC(=O)CC	561
O=C1CCCO1	731
OC1CCCC1	619
CCOC(=O)C	523
CCC=CC=O	594
CCCC(=O)O	622
CCC(CC)Br	596
CCC#CC=C	543
C=CCCC#C	524
CC=CC#CC	548
CCC(C=C)O	557
O1COCOC1	611
O=C1CCCC1	624
OCCCC#C	628
C=CCC=CC	511
CC([N+](=O)[O-])C	595
