SMILES	tvap
CCC=C	267
CC(=O)C	329
C/C=C\C	277
C/C=C/C	274
CC(C)C	261
FC(F)F	191
CC(F)F	249
CC(=C)C	266
FC(Cl)Cl	282
CCC=O	321
CC#CC	300
CCC#C	281
O=CC#C	318
CCCO	370
CC(O)C	355
C=CC=O	325
CC(=O)O	391
C1CCC1	286
[O-][N+](=O)C	374
COCC	281
COC=C	280
COC=O	305
CCC#N	370
CC(Br)C	332
CCCN	320
OCC=C	370
C=CC=C	269
CC(N)C	305
CCCBr	344
C=CC#C	279
OCC#C	375
OCCO	471
CC(F)C	263
CCCF	270
CCCCl	319
BrC(Br)Br	422
CC(Cl)C	308
ClC(Cl)Cl	334
NCCO	443
BrC(=C)Br	384
NCC=C	327
BrCCBr	405
C=CC#N	350
OCCBr	413
NCC#C	357
CC(Br)Br	383
CC(=C)Br	323
BrCC=C	343
BrCC#C	346
OCCF	358
NCCN	390
CC(=C)Cl	296
ClCC#N	381
CC=CF	247
FCCF	287
CNCC	306
CC1CC1	274
ClCC=C	318
ClC(=C)Cl	305
FC(=C)F	188
ClCCCl	357
FCC=C	266
ClCC=O	360
FCC#C	272
CC(Cl)Cl	330
OCCCl	401
CC=CCl	309
ClCC#C	330
FCC=O	306
OCC#N	474
FC(Br)Br	351
ClC(Br)Br	405
NCCF	318
Br/C=C\Br	388
Br/C=C/Br	382
ClCCBr	379
COCCl	332
COCF	269
ClC(Br)Cl	363
Cl/C=C/Cl	321
CC(Br)Cl	374
FC(Br)F	258
Cl/C=C\Cl	330
C/C=C\F	247
FCCBr	338
C/C=C/Br	334
C/C=C\Br	331
F/C=C\F	220
FCCCl	326
FC(=C)Cl	249
CN(C)C	276
CC(Cl)F	289
C/C=C/Cl	310
C/C=C\Cl	305
F/C=C/Cl	286
C/C=C/F	247
F/C=C/F	220
FC(Br)Cl	313
F/C=C\Cl	286
F/C=C/Cl	286
CC=CC	276
BrC=CBr	385
ClC=CCl	325
CC=CBr	334
CCCCC	309
C1CCCC1	322
CCC(C)C	301
FC(F)(F)F	145
CC(C)(C)C	283
FC(Cl)(Cl)Cl	297
FC(Cl)(F)F	192
FC(Cl)(Cl)F	243
CC(Cl)(F)F	264
CC(Cl)(Cl)F	305
CCCC=O	348
C1CCCO1	339
CCCCO	391
CCC(O)C	373
CC=CC=O	374
CCC#CC	329
CCCC=C	303
CCCC#C	313
CCC(=O)C	353
[O-][N+](=O)CC	387
C1CCCN1	360
CCOC=C	309
C1CC=CC1	317
CC(C#C)O	360
CC(C=C)O	370
CCOC=O	327
C1OCCO1	348
CCCC#N	391
OCCC#C	402
CCCCN	350
O=CC(=O)C	346
CCCCBr	374
CCC(N)C	336
OCCC=C	386
CCC(Br)C	364
CC#CCO	414
CCC(Cl)C	341
CCC(=O)O	414
CCC(F)C	296
CC[C@@H](O)C	373
CC[C@H](O)C	372
CCCCF	304
COC(=O)C	330
CCCCCl	352
CC(=O)C=C	354
CC#CC=C	332
C=CCC#C	315
C=COC=O	315
CC/C=C\C	310
CC/C=C/C	309
CC=CC=C	315
C=CCC=C	299
C/C=C/C=O	375
C/C=C/C#N	384
C=CCC#N	392
CCC(=C)Br	354
COCOC	315
OCC(O)C	460
CCCOC	312
OCCCO	488
BrCCC=C	366
OC(=O)CBr	464
O=CC(C)C	337
C#CCC#N	410
COC(C)C	304
O1CC=CC1	332
C1CC=CO1	328
C/C=C/CBr	371
CC(C=C)Br	360
CC#CCBr	380
CCC=CBr	366
CCNCC	328
CC(C=C)Cl	337
CC=CCCl	357
CC=C(C)C	312
CCC(=C)C	304
CCC1CC1	309
CCC=CCl	334
OC(=O)CCl	462
CC#CCCl	375
CCC(=C)Cl	332
OC(=O)C=C	414
CC(C#C)C	301
C=CC(C)C	293
CC1CCC1	310
ClCCC=C	348
CC(CO)N	439
ClC(Cl)(Cl)Cl	350
NCCCO	458
OCCCBr	423
C/C=C\CO	364
BrCCCBr	438
C/C=C\C=O	357
CC(Br)(Br)C	343
C=COC=C	304
CC(CN)O	414
BrCC(Br)C	415
CCC(Br)Br	412
C=CC1CC1	314
CC[C@H](Cl)C	344
[O-][N+](=O)CBr	425
CC(Cl)(Cl)C	343
OCCCCl	422
CCC(Cl)Cl	362
ClCCCCl	394
OCC(C)C	381
OCC(Cl)Cl	420
COCCN	360
COCC=O	365
COCCO	397
ClCC(Cl)C	369
COC(=C)C	309
COCC#N	393
Cl/C=C(\Cl)/C	346
ClC/C=C/Cl	368
OCC1CC1	389
CC(CCl)O	399
CC(O)(C)C	355
COCC=C	320
CC(=C)C=O	341
NCC(N)C	394
FCCCF	300
CCC(F)F	268
CC(Br)(Br)Br	367
OC[C@H](O)C	461
OC[C@@H](O)C	463
[O-][N+](=O)CCl	395
C/C=C/C=C	315
C/C=C/C#C	325
C/C=C\C#C	317
C1C=CC=C1	313
O=CC(Cl)Cl	372
CC(=O)CF	341
BrCC(Br)Br	456
CC(=O)CCl	390
C/C=C\C=C	317
ClCC(Cl)Cl	387
FCC(F)F	277
ClC=C(Cl)Cl	360
CC(=O)CO	425
CC(C#N)Br	425
C/C=C\C#N	380
C/C=C(\Br)/C	361
C/C=C(/Br)\C	362
CC(Cl)(Cl)Cl	347
C/C=C/C#N	391
CC/C=C\Br	359
C[C@@H](C#N)Cl	411
BrCC(=C)Br	411
CCOCCl	346
C=CC(=C)Cl	332
C/C=C/CCl	358
C/C=C\CCl	357
CC/C=C\Cl	337
C/C=C(/Cl)\C	336
CC=C(F)F	244
CC(C#N)C	376
CNC(C)C	323
NCC(C)C	341
C=CC(=C)F	265
ClCC(=C)Cl	366
C=CC(Cl)Cl	359
N1CC=CC1	364
C/C=C(\Cl)/C	338
CC(=C)C#C	306
CC(N)(C)C	317
OCC(F)F	390
OCC=CCl	415
ClCCC#N	426
CC=C(Cl)Cl	349
CCCNC	336
CCN(C)C	310
CC/C=C/Cl	341
C=CC(=C)C	307
ClC(Br)(Cl)Cl	378
CC(C#N)O	448
C[C@@H](CO)N	437
ClCCCBr	417
C[C@H](CO)N	440
COCCBr	385
FC(Br)(F)F	215
ClC(Br)(Br)Br	452
FC(Br)(Br)Br	404
CC(Br)(C)C	346
BrCC(C)C	364
C[C@@H](CN)O	414
OCCC#N	491
CNCCN	389
N#CC1CC1	408
COCCCl	352
CC(Cl)(F)C	341
CC(Cl)(C)C	323
ClCC(C)C	342
COC(Cl)Cl	359
ClC(Br)(Br)Cl	414
FC(Br)(Br)F	296
COC(F)F	266
CC[C@@H](N)C	336
CC1(C)CC1	294
CC(CCl)F	342
CCC(Cl)F	321
ClC[C@@H](Cl)C	363
COC(Cl)C	328
CO/C=C\C	317
CO/C=C/C	317
BrCC1CC1	383
CC(=C)C#N	364
CNCCO	433
NCC1CC1	353
CNCC#N	404
ClCC(=C)Br	384
ClCC1CC1	360
BrC=C(C)C	364
CC(=C)CBr	366
FC(Br)(Br)Cl	376
BrC=C(F)F	285
FCC(=C)Br	348
FCC1CC1	306
BrCC(Br)F	397
CC(Br)(Cl)Cl	399
BrCC(F)F	321
BrC/C=C/Br	393
BrCC(Br)Cl	451
FC(Br)(Cl)Cl	338
C[C@@H](CN)O	414
CC(Br)(F)F	297
CC(Br)(Br)Cl	437
ClC/C=C/Cl	386
Cl/C=C(\Cl)/C	378
CC(=C)CCl	345
ClC=C(C)C	341
ClC/C=C\Cl	377
Cl/C=C\C=C	333
Cl/C=C/C=C	340
FCC(Cl)F	308
FC=C(Cl)Cl	311
ClC=C(F)F	254
ClCC(Cl)F	347
Cl/C=C(/Cl)\C	346
FCC(Cl)Cl	350
FCC(=C)Cl	320
ClCOCCl	378
FC(Br)(Cl)F	269
Cl/C=C/C#N	415
Cl/C=C\C#N	415
F/C=C(\Cl)/F	258
FC(CBr)Cl	367
CC=CC#C	319
Cl/C=C(\Cl)/F	311
F/C=C(/Cl)\F	258
Cl/C=C(/Cl)\F	311
C[C@@H]1C[C@@H]1C	310
C[C@@H]1C[C@H]1C	301
CCC=CC	309
CC=C(Br)C	367
c1ccccc1	353
C1CCCCC1	354
CCCC(C)C	333
COC(=O)OC	363
C1CCCOC1	361
C=C1C=CC=C1	332
c1cccnc1	388
n1ccncc1	389
CCCCC=O	376
CCC#CCC	354
