SMILES	tc
CCC=C	419
C/C=C\C	436
C/C=C/C	429
CC(C)C	408
CC(=C)C	418
CC#CC	489
CCC#C	460
C1CCC1	460
C=CC=C	425
C=CC#C	448
CC1CC1	438
CC=CC	433
CCCCC	470
C1CCCC1	512
CCC(C)C	460
CC(C)(C)C	434
CCC#CC	545
CCCC=C	465
CCCC#C	498
C1CC=CC1	506
CC#CC=C	519
C=CCC#C	492
CC/C=C\C	475
CC/C=C/C	474
CC=CC=C	488
C=CCC=C	462
CC=C(C)C	470
CCC(=C)C	467
CCC1CC1	482
CC(C#C)C	488
C=CC(C)C	453
CC1CCC1	489
C=CC1CC1	494
C/C=C/C=C	487
C/C=C/C#C	517
C/C=C\C#C	505
C1C=CC=C1	501
C/C=C\C=C	490
CC(=C)C#C	477
C=CC(=C)C	475
CC1(C)CC1	475
CC=CC#C	508
C[C@@H]1C[C@@H]1C	493
C[C@@H]1C[C@H]1C	479
CCC=CC	474
c1ccccc1	562
C1CCCCC1	554
CCCC(C)C	498
C=C1C=CC=C1	556
CCC#CCC	537
CCCCC=C	504
CCCCC#C	534
C1CCC=CC1	560
CCC#CC=C	543
C=CCCC#C	524
CC=CC#CC	548
C=CCC=CC	511
C=CCCC=C	502
CCC/C=C\C	513
CC/C=C/CC	507
C#CCC#CC	600
C#CCCC#C	587
CCC/C=C/C	509
CC/C=C\CC	510
CCC=CCC	502
CCC(CC)C	505
CCC1CCC1	528
C=CC/C=C\C	527
C=CC=CC=C	538
CCCC1CC1	517
CC1CCCC1	533
CC(CC#C)C	522
CCC=C(C)C	509
CCCC(=C)C	502
CC(C#C)CC	524
CC#CC(C)C	540
C=CCC(C)C	493
CC(C(C)C)C	500
CCC(C)(C)C	489
CC=CC(C)C	492
CC(C=C)CC	490
C=CC=CC#C	551
CC/C=C\C=C	523
C1=CCC=CC1	570
CC/C=C/C#C	527
C=CC#CC=C	550
C=CC/C=C/C	510
C1CC=CC=C1	558
CC/C=C/C=C	522
CCC(=C)CC	506
C=CC(C)(C)C	477
C1CC1C1CC1	544
CC(=C)C(C)C	498
CC(=C(C)C)C	521
C#CC(C)(C)C	511
C/C=C\C=C\C	538
C/C=C/C=C/C	537
C=C/C=C\C=C	541
C=C/C=C/C=C	538
C/C=C\C=C/C	541
CC=C(C=C)C	528
CC/C(=C\C)/C	516
C/C=C\C(C)C	496
C=CCC(=C)C	497
C=CC=C(C)C	527
C=CC(C=C)C	487
CC1=CCCC1	544
CC1CC=CC1	539
CC/C(=C/C)/C	507
C/C=C/C(C)C	497
C[C@H](C=C)CC	490
CC=CC(=C)C	527
C[C@@H](C=C)CC	488
C[C@@H]1CC[C@H]1C	510
CC1CCC=C1	537
CCC(=C)C=C	521
C=C1CCCC1	542
CC1CC(C1)C	522
C=C/C=C/C#C	549
CC(C1CC1)C	508
CC(=C)C(=C)C	516
CC1C(C1C)C	529
C[C@@H]1C[C@@H](C1)C	516
CC1CC1(C)C	512
C/C=C\C(=C)C	512
C/C(=C\C)/C#C	549
CC1=CC=CC1	525
CCC1CC1C	503
C/C=C/C(=C)C	527
C=CC(=C)C=C	484
CC1=CCC=C1	548
C[C@@H]1CCC=C1	532
CC1C=CC=C1	540
CCC1(C)CC1	518
CC(=C)C1CC1	521
C[C@@H]1C[C@H](C1)C	520
CC=CC=CC	536
CCCC=CC	511
CC[C@@H]1C[C@@H]1C	526
C[C@@H]1[C@@H]([C@@H]1C)C	486
C[C@@H]1[C@H]([C@@H]1C)C	515
CC[C@@H]1C[C@H]1C	513
CCC=CC=C	522
CCC(=CC)C	511
Cc1ccccc1	592
CC1CCCCC1	572
CCCCC#CC	604
CCCCC=CC	545
CCCC=CCC	541
CCCCCC#C	564
CCCC#CCC	622
CCCCCC=C	537
C1CCCCCC1	604
C1CCC=CCC1	598
CCCC(CC)C	535
CCCCC(C)C	530
CCC(CC)CC	541
C#CCCCC#C	608
CCCC#CC=C	569
CCC/C=C/CC	539
CCC/C=C\CC	543
CCCC/C=C/C	543
CCC=CCC=C	541
CCCC=CC=C	552
CCCC/C=C\C	548
C=CCCCC=C	536
C#CCCC#CC	575
C=CCCC=CC	542
CCCCC1CC1	554
