SMILES	tvap
CCC=C	267
C/C=C\C	277
C/C=C/C	274
CC(C)C	261
CC(=C)C	266
CC#CC	300
CCC#C	281
C1CCC1	286
C=CC=C	269
C=CC#C	279
CC1CC1	274
CC=CC	276
CCCCC	309
C1CCCC1	322
CCC(C)C	301
CC(C)(C)C	283
CCC#CC	329
CCCC=C	303
CCCC#C	313
C1CC=CC1	317
CC#CC=C	332
C=CCC#C	315
CC/C=C\C	310
CC/C=C/C	309
CC=CC=C	315
C=CCC=C	299
CC=C(C)C	312
CCC(=C)C	304
CCC1CC1	309
CC(C#C)C	301
C=CC(C)C	293
CC1CCC1	310
C=CC1CC1	314
C/C=C/C=C	315
C/C=C/C#C	325
C/C=C\C#C	317
C1C=CC=C1	313
C/C=C\C=C	317
CC(=C)C#C	306
C=CC(=C)C	307
CC1(C)CC1	294
CC=CC#C	319
C[C@@H]1C[C@@H]1C	310
C[C@@H]1C[C@H]1C	301
CCC=CC	309
c1ccccc1	353
C1CCCCC1	354
CCCC(C)C	333
C=C1C=CC=C1	332
CCC#CCC	354
CCCCC=C	337
CCCCC#C	344
C1CCC=CC1	356
CCC#CC=C	357
C=CCCC#C	344
CC=CC#CC	359
C=CCC=CC	339
C=CCCC=C	332
CCC/C=C\C	342
CC/C=C/CC	340
C#CCC#CC	354
C#CCCC#C	359
CCC/C=C/C	341
CC/C=C\CC	340
CCC=CCC	340
CCC(CC)C	336
CCC1CCC1	344
C=CC/C=C\C	338
C=CC=CC=C	353
CCCC1CC1	342
CC1CCCC1	345
CC(CC#C)C	334
CCC=C(C)C	340
CCCC(=C)C	335
CC(C#C)CC	331
CC#CC(C)C	346
C=CCC(C)C	327
CC(C(C)C)C	331
CCC(C)(C)C	323
CC=CC(C)C	328
CC(C=C)CC	327
C=CC=CC#C	358
CC/C=C\C=C	346
C1=CCC=CC1	363
CC/C=C/C#C	346
C=CC#CC=C	359
C=CC/C=C/C	338
C1CC=CC=C1	353
CC/C=C/C=C	345
CCC(=C)CC	338
C=CC(C)(C)C	314
C1CC1C1CC1	349
CC(=C)C(C)C	329
CC(=C(C)C)C	346
C#CC(C)(C)C	311
C/C=C\C=C\C	357
C/C=C/C=C/C	356
C=C/C=C\C=C	355
C=C/C=C/C=C	351
C/C=C\C=C/C	358
CC=C(C=C)C	350
CC/C(=C\C)/C	344
C/C=C\C(C)C	330
C=CCC(=C)C	329
C=CC=C(C)C	349
C=CC(C=C)C	325
CC1=CCCC1	349
CC1CC=CC1	348
CC/C(=C/C)/C	341
C/C=C/C(C)C	332
C[C@H](C=C)CC	327
CC=CC(=C)C	349
C[C@@H](C=C)CC	326
C[C@@H]1CC[C@H]1C	330
CC1CCC=C1	338
CCC(=C)C=C	346
C=C1CCCC1	349
CC1CC(C1)C	331
C=C/C=C/C#C	357
CC(C1CC1)C	332
CC(=C)C(=C)C	342
CC1C(C1C)C	314
C[C@@H]1C[C@@H](C1)C	334
CC1CC1(C)C	326
C/C=C\C(=C)C	341
C/C(=C\C)/C#C	342
CC1=CC=CC1	338
CCC1CC1C	330
C/C=C/C(=C)C	349
C=CC(=C)C=C	328
CC1=CCC=C1	362
C[C@@H]1CCC=C1	350
CC1C=CC=C1	350
CCC1(C)CC1	330
CC(=C)C1CC1	343
C[C@@H]1C[C@H](C1)C	330
CC=CC=CC	355
CCCC=CC	341
CC[C@@H]1C[C@@H]1C	339
C[C@@H]1[C@@H]([C@@H]1C)C	314
C[C@@H]1[C@H]([C@@H]1C)C	333
CC[C@@H]1C[C@H]1C	332
CCC=CC=C	345
CCC(=CC)C	342
Cc1ccccc1	384
CC1CCCCC1	374
CCCCC#CC	386
CCCCC=CC	372
CCCC=CCC	369
CCCCCC#C	373
CCCC#CCC	382
CCCCCC=C	367
C1CCCCCC1	392
C1CCC=CCC1	387
CCCC(CC)C	365
CCCCC(C)C	363
CCC(CC)CC	367
C#CCCCC#C	385
CCCC#CC=C	382
CCC/C=C/CC	369
CCC/C=C\CC	369
CCCC/C=C/C	371
CCC=CCC=C	366
CCCC=CC=C	373
CCCC/C=C\C	371
C=CCCCC=C	363
C#CCCC#CC	383
C=CCCC=CC	367
CCCCC1CC1	372
CC(C=C)CCC	357
CCCCC(=C)C	365
C#CCCC(C)C	365
CCC(=CC)CC	369
C=CCCC(C)C	358
CC(CC)CC=C	360
CCCC1CCC1	374
CCCC=C(C)C	368
CCCC(=CC)C	368
CCC1CCCC1	377
CCC#CC(C)C	368
