C/C=C\C	2.40e+02	1.00e+00	-24.45	-21.78449249267578
C/C=C\C	2.40e+02	5.00e+01	-24.63	-22.166826248168945
C/C=C\C	2.68e+02	5.00e+02	-24.49	-21.755596160888672
C/C=C\C	2.68e+02	7.50e+02	-25.08	-22.332292556762695
C/C=C\C	2.95e+02	7.50e+02	-24.01	-21.484912872314453
C/C=C\C	2.95e+02	1.00e+03	-24.54	-21.98055648803711
Cc1cccc2c1c1c(C)cccc1CC2	6.50e+02	1.00e+00	-49.51	-54.97480392456055
C=C1C=CC=CC=C1	5.10e+02	1.00e+00	-36.26	-32.53055191040039
CCCC(=CCC)c1ccccc1	6.24e+02	1.00e+00	-32.1	-35.707340240478516
CC(C1C(C(C)C)C(C1(C)C)(C)C)C	5.78e+02	1.00e+00	-30.48	-33.614505767822266
